FID_1,site_code_,site_name,valid_date,level,danger_lev,FID_2,GridID,Subbasin
60,010-mgd4ptn,Chatia,2017/09/27 06:00:00.000,66.44000000000,69.15000000000,0,0,
61,014-MGD5PTN,Chapra,2017/09/26 21:00:00.000,47.63000000000,53.68000000000,0,0,
63,027-MGD5PTN,Maner,2017/09/26 21:00:00.000,45.82000000000,52.00000000000,0,0,
66,030-mgd4ptn,DHENGRAGHAT,2017/09/27 06:00:00.000,34.38000000000,35.65000000000,0,0,
67,021-UYDDEL,Dadri,2017/09/27 06:00:00.000,210.83000000000,0.00000000000,0,0,
68,013-MGD5PTN,Gangpur siswan,2017/09/26 21:00:00.000,55.45000000000,57.04000000000,0,0,
69,009-MGD1LKN,B.K.Ghat,2017/09/27 06:00:00.000,134.64000000000,0.00000000000,0,0,
70,014-mgd2lkn,Lucknow,2017/09/27 04:00:00.000,103.40000000000,109.50000000000,0,0,
71,013-mgd2lkn,Dalmau,2017/09/27 04:00:00.000,95.63000000000,99.36000000000,0,0,
72,008-HGDDDN,Uttarkashi,2017/09/27 06:00:00.000,1119.08000000000,0.00000000000,0,0,
73,009-MGD5PTN,Rewaghat,2017/09/26 21:00:00.000,52.03000000000,54.41000000000,0,0,
74,004-mgd3vns,Sitamarhi,2017/09/27 06:00:00.000,69.46000000000,0.00000000000,0,0,
75,024-mgd5pat,Daltenganj,2017/09/26 21:00:00.000,207.82000000000,0.00000000000,0,0,
76,014-HGDDDN,Rishikesh,2017/09/27 06:00:00.000,338.01000000000,340.50000000000,0,0,
77,015-HGDDDN,Haridwar,2017/09/27 06:00:00.000,291.45000000000,294.00000000000,0,0,
78,002-MGD5PTN,Dighaghat (Seasonal),2017/09/26 21:00:00.000,46.07000000000,50.45000000000,0,0,
79,019-UBDDIB,NEAMATIGHAT,2017/09/27 06:00:00.000,84.53000000000,85.04000000000,0,0,
80,022-UBDDIB,BADATIGHAT,2017/09/27 06:00:00.000,80.35000000000,82.53000000000,0,0,
